,location,date,variant,num_sequences,perc_sequences,num_sequences_total
79704,Singapore,2020-05-11,Alpha,0,0.0,112
79705,Singapore,2020-05-11,B.1.1.277,0,0.0,112
79706,Singapore,2020-05-11,B.1.1.302,0,0.0,112
79707,Singapore,2020-05-11,B.1.1.519,0,0.0,112
79708,Singapore,2020-05-11,B.1.160,0,0.0,112
79709,Singapore,2020-05-11,B.1.177,0,0.0,112
79710,Singapore,2020-05-11,B.1.221,0,0.0,112
79711,Singapore,2020-05-11,B.1.258,0,0.0,112
79712,Singapore,2020-05-11,B.1.367,0,0.0,112
79713,Singapore,2020-05-11,B.1.620,0,0.0,112
79714,Singapore,2020-05-11,Beta,0,0.0,112
79715,Singapore,2020-05-11,Delta,0,0.0,112
79716,Singapore,2020-05-11,Epsilon,0,0.0,112
79717,Singapore,2020-05-11,Eta,0,0.0,112
79718,Singapore,2020-05-11,Gamma,0,0.0,112
79719,Singapore,2020-05-11,Iota,0,0.0,112
79720,Singapore,2020-05-11,Kappa,0,0.0,112
79721,Singapore,2020-05-11,Lambda,0,0.0,112
79722,Singapore,2020-05-11,Mu,0,0.0,112
79723,Singapore,2020-05-11,Omicron,0,0.0,112
79724,Singapore,2020-05-11,S:677H.Robin1,0,0.0,112
79725,Singapore,2020-05-11,S:677P.Pelican,0,0.0,112
79726,Singapore,2020-05-11,others,112,100.0,112
79727,Singapore,2020-05-11,non_who,112,100.0,112
79728,Singapore,2020-05-25,Alpha,0,0.0,72
79729,Singapore,2020-05-25,B.1.1.277,0,0.0,72
79730,Singapore,2020-05-25,B.1.1.302,0,0.0,72
79731,Singapore,2020-05-25,B.1.1.519,0,0.0,72
79732,Singapore,2020-05-25,B.1.160,0,0.0,72
79733,Singapore,2020-05-25,B.1.177,0,0.0,72
79734,Singapore,2020-05-25,B.1.221,0,0.0,72
79735,Singapore,2020-05-25,B.1.258,0,0.0,72
79736,Singapore,2020-05-25,B.1.367,0,0.0,72
79737,Singapore,2020-05-25,B.1.620,0,0.0,72
79738,Singapore,2020-05-25,Beta,0,0.0,72
79739,Singapore,2020-05-25,Delta,0,0.0,72
79740,Singapore,2020-05-25,Epsilon,0,0.0,72
79741,Singapore,2020-05-25,Eta,0,0.0,72
79742,Singapore,2020-05-25,Gamma,0,0.0,72
79743,Singapore,2020-05-25,Iota,0,0.0,72
79744,Singapore,2020-05-25,Kappa,0,0.0,72
79745,Singapore,2020-05-25,Lambda,0,0.0,72
79746,Singapore,2020-05-25,Mu,0,0.0,72
79747,Singapore,2020-05-25,Omicron,0,0.0,72
79748,Singapore,2020-05-25,S:677H.Robin1,0,0.0,72
79749,Singapore,2020-05-25,S:677P.Pelican,0,0.0,72
79750,Singapore,2020-05-25,others,72,100.0,72
79751,Singapore,2020-05-25,non_who,72,100.0,72
79752,Singapore,2020-06-08,Alpha,0,0.0,61
79753,Singapore,2020-06-08,B.1.1.277,0,0.0,61
79754,Singapore,2020-06-08,B.1.1.302,0,0.0,61
79755,Singapore,2020-06-08,B.1.1.519,0,0.0,61
79756,Singapore,2020-06-08,B.1.160,0,0.0,61
79757,Singapore,2020-06-08,B.1.177,0,0.0,61
79758,Singapore,2020-06-08,B.1.221,0,0.0,61
79759,Singapore,2020-06-08,B.1.258,0,0.0,61
79760,Singapore,2020-06-08,B.1.367,0,0.0,61
79761,Singapore,2020-06-08,B.1.620,0,0.0,61
79762,Singapore,2020-06-08,Beta,0,0.0,61
79763,Singapore,2020-06-08,Delta,0,0.0,61
79764,Singapore,2020-06-08,Epsilon,0,0.0,61
79765,Singapore,2020-06-08,Eta,0,0.0,61
79766,Singapore,2020-06-08,Gamma,0,0.0,61
79767,Singapore,2020-06-08,Iota,0,0.0,61
79768,Singapore,2020-06-08,Kappa,0,0.0,61
79769,Singapore,2020-06-08,Lambda,0,0.0,61
79770,Singapore,2020-06-08,Mu,0,0.0,61
79771,Singapore,2020-06-08,Omicron,0,0.0,61
79772,Singapore,2020-06-08,S:677H.Robin1,0,0.0,61
79773,Singapore,2020-06-08,S:677P.Pelican,0,0.0,61
79774,Singapore,2020-06-08,others,61,100.0,61
79775,Singapore,2020-06-08,non_who,61,100.0,61
79776,Singapore,2020-06-22,Alpha,0,0.0,48
79777,Singapore,2020-06-22,B.1.1.277,0,0.0,48
79778,Singapore,2020-06-22,B.1.1.302,0,0.0,48
79779,Singapore,2020-06-22,B.1.1.519,0,0.0,48
79780,Singapore,2020-06-22,B.1.160,0,0.0,48
79781,Singapore,2020-06-22,B.1.177,0,0.0,48
79782,Singapore,2020-06-22,B.1.221,0,0.0,48
79783,Singapore,2020-06-22,B.1.258,0,0.0,48
79784,Singapore,2020-06-22,B.1.367,0,0.0,48
79785,Singapore,2020-06-22,B.1.620,0,0.0,48
79786,Singapore,2020-06-22,Beta,0,0.0,48
79787,Singapore,2020-06-22,Delta,0,0.0,48
79788,Singapore,2020-06-22,Epsilon,0,0.0,48
79789,Singapore,2020-06-22,Eta,0,0.0,48
79790,Singapore,2020-06-22,Gamma,0,0.0,48
79791,Singapore,2020-06-22,Iota,0,0.0,48
79792,Singapore,2020-06-22,Kappa,0,0.0,48
79793,Singapore,2020-06-22,Lambda,0,0.0,48
