,location,date,variant,num_sequences,perc_sequences,num_sequences_total
50688,Luxembourg,2020-05-11,Alpha,0,0.0,6
50689,Luxembourg,2020-05-11,B.1.1.277,0,0.0,6
50690,Luxembourg,2020-05-11,B.1.1.302,0,0.0,6
50691,Luxembourg,2020-05-11,B.1.1.519,0,0.0,6
50692,Luxembourg,2020-05-11,B.1.160,0,0.0,6
50693,Luxembourg,2020-05-11,B.1.177,0,0.0,6
50694,Luxembourg,2020-05-11,B.1.221,0,0.0,6
50695,Luxembourg,2020-05-11,B.1.258,0,0.0,6
50696,Luxembourg,2020-05-11,B.1.367,0,0.0,6
50697,Luxembourg,2020-05-11,B.1.620,0,0.0,6
50698,Luxembourg,2020-05-11,Beta,0,0.0,6
50699,Luxembourg,2020-05-11,Delta,0,0.0,6
50700,Luxembourg,2020-05-11,Epsilon,0,0.0,6
50701,Luxembourg,2020-05-11,Eta,0,0.0,6
50702,Luxembourg,2020-05-11,Gamma,0,0.0,6
50703,Luxembourg,2020-05-11,Iota,0,0.0,6
50704,Luxembourg,2020-05-11,Kappa,0,0.0,6
50705,Luxembourg,2020-05-11,Lambda,0,0.0,6
50706,Luxembourg,2020-05-11,Mu,0,0.0,6
50707,Luxembourg,2020-05-11,Omicron,0,0.0,6
50708,Luxembourg,2020-05-11,S:677H.Robin1,0,0.0,6
50709,Luxembourg,2020-05-11,S:677P.Pelican,0,0.0,6
50710,Luxembourg,2020-05-11,others,6,100.0,6
50711,Luxembourg,2020-05-11,non_who,6,100.0,6
50712,Luxembourg,2020-05-25,Alpha,0,0.0,12
50713,Luxembourg,2020-05-25,B.1.1.277,0,0.0,12
50714,Luxembourg,2020-05-25,B.1.1.302,0,0.0,12
50715,Luxembourg,2020-05-25,B.1.1.519,0,0.0,12
50716,Luxembourg,2020-05-25,B.1.160,0,0.0,12
50717,Luxembourg,2020-05-25,B.1.177,0,0.0,12
50718,Luxembourg,2020-05-25,B.1.221,0,0.0,12
50719,Luxembourg,2020-05-25,B.1.258,0,0.0,12
50720,Luxembourg,2020-05-25,B.1.367,0,0.0,12
50721,Luxembourg,2020-05-25,B.1.620,0,0.0,12
50722,Luxembourg,2020-05-25,Beta,0,0.0,12
50723,Luxembourg,2020-05-25,Delta,0,0.0,12
50724,Luxembourg,2020-05-25,Epsilon,0,0.0,12
50725,Luxembourg,2020-05-25,Eta,0,0.0,12
50726,Luxembourg,2020-05-25,Gamma,0,0.0,12
50727,Luxembourg,2020-05-25,Iota,0,0.0,12
50728,Luxembourg,2020-05-25,Kappa,0,0.0,12
50729,Luxembourg,2020-05-25,Lambda,0,0.0,12
50730,Luxembourg,2020-05-25,Mu,0,0.0,12
50731,Luxembourg,2020-05-25,Omicron,0,0.0,12
50732,Luxembourg,2020-05-25,S:677H.Robin1,0,0.0,12
50733,Luxembourg,2020-05-25,S:677P.Pelican,0,0.0,12
50734,Luxembourg,2020-05-25,others,12,100.0,12
50735,Luxembourg,2020-05-25,non_who,12,100.0,12
50736,Luxembourg,2020-06-22,Alpha,0,0.0,4
50737,Luxembourg,2020-06-22,B.1.1.277,0,0.0,4
50738,Luxembourg,2020-06-22,B.1.1.302,0,0.0,4
50739,Luxembourg,2020-06-22,B.1.1.519,0,0.0,4
50740,Luxembourg,2020-06-22,B.1.160,0,0.0,4
50741,Luxembourg,2020-06-22,B.1.177,0,0.0,4
50742,Luxembourg,2020-06-22,B.1.221,0,0.0,4
50743,Luxembourg,2020-06-22,B.1.258,0,0.0,4
50744,Luxembourg,2020-06-22,B.1.367,0,0.0,4
50745,Luxembourg,2020-06-22,B.1.620,0,0.0,4
50746,Luxembourg,2020-06-22,Beta,0,0.0,4
50747,Luxembourg,2020-06-22,Delta,0,0.0,4
50748,Luxembourg,2020-06-22,Epsilon,0,0.0,4
50749,Luxembourg,2020-06-22,Eta,0,0.0,4
50750,Luxembourg,2020-06-22,Gamma,0,0.0,4
50751,Luxembourg,2020-06-22,Iota,0,0.0,4
50752,Luxembourg,2020-06-22,Kappa,0,0.0,4
50753,Luxembourg,2020-06-22,Lambda,0,0.0,4
50754,Luxembourg,2020-06-22,Mu,0,0.0,4
50755,Luxembourg,2020-06-22,Omicron,0,0.0,4
50756,Luxembourg,2020-06-22,S:677H.Robin1,0,0.0,4
50757,Luxembourg,2020-06-22,S:677P.Pelican,0,0.0,4
50758,Luxembourg,2020-06-22,others,4,100.0,4
50759,Luxembourg,2020-06-22,non_who,4,100.0,4
50760,Luxembourg,2020-07-06,Alpha,0,0.0,20
50761,Luxembourg,2020-07-06,B.1.1.277,0,0.0,20
50762,Luxembourg,2020-07-06,B.1.1.302,0,0.0,20
50763,Luxembourg,2020-07-06,B.1.1.519,0,0.0,20
50764,Luxembourg,2020-07-06,B.1.160,0,0.0,20
50765,Luxembourg,2020-07-06,B.1.177,0,0.0,20
50766,Luxembourg,2020-07-06,B.1.221,0,0.0,20
50767,Luxembourg,2020-07-06,B.1.258,0,0.0,20
50768,Luxembourg,2020-07-06,B.1.367,0,0.0,20
50769,Luxembourg,2020-07-06,B.1.620,0,0.0,20
50770,Luxembourg,2020-07-06,Beta,0,0.0,20
50771,Luxembourg,2020-07-06,Delta,0,0.0,20
50772,Luxembourg,2020-07-06,Epsilon,0,0.0,20
50773,Luxembourg,2020-07-06,Eta,0,0.0,20
50774,Luxembourg,2020-07-06,Gamma,0,0.0,20
50775,Luxembourg,2020-07-06,Iota,0,0.0,20
50776,Luxembourg,2020-07-06,Kappa,0,0.0,20
50777,Luxembourg,2020-07-06,Lambda,0,0.0,20
50778,Luxembourg,2020-07-06,Mu,0,0.0,20
50779,Luxembourg,2020-07-06,Omicron,0,0.0,20
50780,Luxembourg,2020-07-06,S:677H.Robin1,0,0.0,20
50781,Luxembourg,2020-07-06,S:677P.Pelican,0,0.0,20
50782,Luxembourg,2020-07-06,others,20,100.0,20
50783,Luxembourg,2020-07-06,non_who,20,100.0,20
50784,Luxembourg,2020-07-20,Alpha,0,0.0,24
50785,Luxembourg,2020-07-20,B.1.1.277,0,0.0,24
50786,Luxembourg,2020-07-20,B.1.1.302,0,0.0,24
50787,Luxembourg,2020-07-20,B.1.1.519,0,0.0,24
50788,Luxembourg,2020-07-20,B.1.160,0,0.0,24
50789,Luxembourg,2020-07-20,B.1.177,0,0.0,24
50790,Luxembourg,2020-07-20,B.1.221,0,0.0,24
50791,Luxembourg,2020-07-20,B.1.258,0,0.0,24
50792,Luxembourg,2020-07-20,B.1.367,0,0.0,24
50793,Luxembourg,2020-07-20,B.1.620,0,0.0,24
50794,Luxembourg,2020-07-20,Beta,0,0.0,24
50795,Luxembourg,2020-07-20,Delta,0,0.0,24
50796,Luxembourg,2020-07-20,Epsilon,0,0.0,24
50797,Luxembourg,2020-07-20,Eta,0,0.0,24
50798,Luxembourg,2020-07-20,Gamma,0,0.0,24
50799,Luxembourg,2020-07-20,Iota,0,0.0,24
50800,Luxembourg,2020-07-20,Kappa,0,0.0,24
50801,Luxembourg,2020-07-20,Lambda,0,0.0,24
50802,Luxembourg,2020-07-20,Mu,0,0.0,24
50803,Luxembourg,2020-07-20,Omicron,0,0.0,24
50804,Luxembourg,2020-07-20,S:677H.Robin1,0,0.0,24
50805,Luxembourg,2020-07-20,S:677P.Pelican,0,0.0,24
50806,Luxembourg,2020-07-20,others,24,100.0,24
50807,Luxembourg,2020-07-20,non_who,24,100.0,24
50808,Luxembourg,2020-08-03,Alpha,0,0.0,20
50809,Luxembourg,2020-08-03,B.1.1.277,0,0.0,20
50810,Luxembourg,2020-08-03,B.1.1.302,0,0.0,20
50811,Luxembourg,2020-08-03,B.1.1.519,0,0.0,20
50812,Luxembourg,2020-08-03,B.1.160,0,0.0,20
50813,Luxembourg,2020-08-03,B.1.177,0,0.0,20
